advertiser_id,product_id,date
OAGTYWN8WFC997VLDJH7,v3w16i,2025-11-15
KD9PHCBGYFBRI9ET1O9R,ytmeeg,2025-11-15
AK81O7W3KGPEN8LABG2N,604g3a,2025-11-15
IDOFCO721HTJGDH7332G,f1tpkm,2025-11-15
LTRZRCI4M19WYVL6Q6L5,b4whzb,2025-11-15
KD9PHCBGYFBRI9ET1O9R,f0mew6,2025-11-15
P41C5HK4P2G5GFRMT6ZA,6q0q3i,2025-11-15
SOVPFK3BBWKTQM9HOHWJ,j7ua0b,2025-11-15
2WPF1NXECF3G6NUMWDO7,urms05,2025-11-15
P41C5HK4P2G5GFRMT6ZA,jsu541,2025-11-15
P41C5HK4P2G5GFRMT6ZA,lgl3od,2025-11-15
KD9PHCBGYFBRI9ET1O9R,f0mew6,2025-11-15
IDOFCO721HTJGDH7332G,ms1260,2025-11-15
EN1SA43DTN2LIR8DEW5S,5eo9ar,2025-11-15
AK81O7W3KGPEN8LABG2N,jo72g4,2025-11-15
62FIK8F2YT8JSFDBLEC9,ffpbxq,2025-11-15
K6Z0X85ZUY0TSF4RCG5J,1ohcvj,2025-11-15
KD9PHCBGYFBRI9ET1O9R,8l596a,2025-11-15
KD9PHCBGYFBRI9ET1O9R,igp6ou,2025-11-15
P41C5HK4P2G5GFRMT6ZA,nu3qjo,2025-11-15
2WPF1NXECF3G6NUMWDO7,athjhi,2025-11-15
LW045DVYSGRD75TK6U54,iiuf2g,2025-11-15
K6Z0X85ZUY0TSF4RCG5J,0szpl3,2025-11-15
M0LU6DCI1WILGQBZ6808,cbrx15,2025-11-15
M0LU6DCI1WILGQBZ6808,49e3oz,2025-11-15
KD9PHCBGYFBRI9ET1O9R,58nqjt,2025-11-15
K6Z0X85ZUY0TSF4RCG5J,lvaqgo,2025-11-15
5E325T5HYL61QSABVR5V,9trbal,2025-11-15
62FIK8F2YT8JSFDBLEC9,z1ssuh,2025-11-15
8C88YB6E8YCGWU07HA7A,c8px87,2025-11-15
62FIK8F2YT8JSFDBLEC9,jc5pyx,2025-11-15
OY5LNPB5A8FF43ITRZG3,d6etln,2025-11-15
62FIK8F2YT8JSFDBLEC9,z1ssuh,2025-11-15
AK81O7W3KGPEN8LABG2N,oc3d89,2025-11-15
P41C5HK4P2G5GFRMT6ZA,2t9l0j,2025-11-15
IDOFCO721HTJGDH7332G,w7kmb5,2025-11-15
IDOFCO721HTJGDH7332G,ped1lm,2025-11-15
IOBPI63RBJIHI5FB7U9O,445jwt,2025-11-15
M0LU6DCI1WILGQBZ6808,4rzvrf,2025-11-15
IOBPI63RBJIHI5FB7U9O,5rsuey,2025-11-15
6X20RDH567MX2X3TXYJ7,or5lid,2025-11-15
62FIK8F2YT8JSFDBLEC9,opxejb,2025-11-15
Y0W3K7OV6ZLILW96OO3K,4iwb4e,2025-11-15
8C88YB6E8YCGWU07HA7A,qd7vg6,2025-11-15
AK81O7W3KGPEN8LABG2N,jk8t0g,2025-11-15
IOBPI63RBJIHI5FB7U9O,lq50zx,2025-11-15
IOBPI63RBJIHI5FB7U9O,8snsgj,2025-11-15
2WPF1NXECF3G6NUMWDO7,athjhi,2025-11-15
8C88YB6E8YCGWU07HA7A,86k0ty,2025-11-15
IDOFCO721HTJGDH7332G,eo2sq5,2025-11-15
LTRZRCI4M19WYVL6Q6L5,01uo1p,2025-11-15
SOVPFK3BBWKTQM9HOHWJ,mg3tnw,2025-11-15
Y0W3K7OV6ZLILW96OO3K,v7owp2,2025-11-15
KD9PHCBGYFBRI9ET1O9R,wzlu86,2025-11-15
AK81O7W3KGPEN8LABG2N,qziru5,2025-11-15
K6Z0X85ZUY0TSF4RCG5J,xpqesp,2025-11-15
SOVPFK3BBWKTQM9HOHWJ,iii41j,2025-11-15
K6Z0X85ZUY0TSF4RCG5J,r4idkh,2025-11-15
OAGTYWN8WFC997VLDJH7,cvada8,2025-11-15
IOBPI63RBJIHI5FB7U9O,dle4nm,2025-11-15
LW045DVYSGRD75TK6U54,139cpf,2025-11-15
62FIK8F2YT8JSFDBLEC9,4nunqe,2025-11-15
6X20RDH567MX2X3TXYJ7,ki5y52,2025-11-15
LW045DVYSGRD75TK6U54,s4m53i,2025-11-15
OAGTYWN8WFC997VLDJH7,3qyput,2025-11-15
GXLKAA83238FVRU718EX,6arj5u,2025-11-15
M0LU6DCI1WILGQBZ6808,xxih0d,2025-11-15
IDOFCO721HTJGDH7332G,fmjzux,2025-11-15
OAGTYWN8WFC997VLDJH7,t5uu1a,2025-11-15
5E325T5HYL61QSABVR5V,b5uafp,2025-11-15
GXLKAA83238FVRU718EX,hxqab8,2025-11-15
P41C5HK4P2G5GFRMT6ZA,0xu1mi,2025-11-15
OAGTYWN8WFC997VLDJH7,ehy1j1,2025-11-15
IDOFCO721HTJGDH7332G,3rjex0,2025-11-15
LTRZRCI4M19WYVL6Q6L5,1agpfl,2025-11-15
IDOFCO721HTJGDH7332G,3h779a,2025-11-15
62FIK8F2YT8JSFDBLEC9,3w8khx,2025-11-15
8C88YB6E8YCGWU07HA7A,hms6ox,2025-11-15
2WPF1NXECF3G6NUMWDO7,k2umzv,2025-11-15
6X20RDH567MX2X3TXYJ7,p4o2r2,2025-11-15
IOBPI63RBJIHI5FB7U9O,ogqtdt,2025-11-15
OY5LNPB5A8FF43ITRZG3,kaw0p8,2025-11-15
6X20RDH567MX2X3TXYJ7,n7vqaj,2025-11-15
62FIK8F2YT8JSFDBLEC9,j886n4,2025-11-15
5E325T5HYL61QSABVR5V,3qfrb4,2025-11-15
62FIK8F2YT8JSFDBLEC9,cpr5bw,2025-11-15
62FIK8F2YT8JSFDBLEC9,k3h605,2025-11-15
Y0W3K7OV6ZLILW96OO3K,szo5zy,2025-11-15
OAGTYWN8WFC997VLDJH7,v3w16i,2025-11-15
P41C5HK4P2G5GFRMT6ZA,9wcfkd,2025-11-15
IOBPI63RBJIHI5FB7U9O,ks2bo6,2025-11-15
LW045DVYSGRD75TK6U54,x3crfu,2025-11-15
LW045DVYSGRD75TK6U54,3ijev0,2025-11-15
M0LU6DCI1WILGQBZ6808,fefhb0,2025-11-15
5E325T5HYL61QSABVR5V,1ej5a8,2025-11-15
2WPF1NXECF3G6NUMWDO7,k63v46,2025-11-15
IOBPI63RBJIHI5FB7U9O,vxlz8q,2025-11-15
Y0W3K7OV6ZLILW96OO3K,qi23p1,2025-11-15
K6Z0X85ZUY0TSF4RCG5J,u5a7td,2025-11-15
OAGTYWN8WFC997VLDJH7,6dq1ba,2025-11-15
5E325T5HYL61QSABVR5V,tnmcau,2025-11-15
OAGTYWN8WFC997VLDJH7,fjunyp,2025-11-15
EN1SA43DTN2LIR8DEW5S,ctyu0r,2025-11-15
SOVPFK3BBWKTQM9HOHWJ,kanmlg,2025-11-15
GXLKAA83238FVRU718EX,bugbua,2025-11-15
OAGTYWN8WFC997VLDJH7,dv162s,2025-11-15
SOVPFK3BBWKTQM9HOHWJ,gv9o9j,2025-11-15
62FIK8F2YT8JSFDBLEC9,cmjf2z,2025-11-15
IDOFCO721HTJGDH7332G,wpsx4z,2025-11-15
P41C5HK4P2G5GFRMT6ZA,6q0q3i,2025-11-15
GXLKAA83238FVRU718EX,t0fe6q,2025-11-15
KD9PHCBGYFBRI9ET1O9R,vvm21y,2025-11-15
8C88YB6E8YCGWU07HA7A,c2fltm,2025-11-15
SOVPFK3BBWKTQM9HOHWJ,8asss7,2025-11-15
62FIK8F2YT8JSFDBLEC9,owih8y,2025-11-15
LTRZRCI4M19WYVL6Q6L5,yzfgkg,2025-11-15
6X20RDH567MX2X3TXYJ7,9lk424,2025-11-15
K6Z0X85ZUY0TSF4RCG5J,1ohcvj,2025-11-15
SOVPFK3BBWKTQM9HOHWJ,odw4nw,2025-11-15
OAGTYWN8WFC997VLDJH7,do21b6,2025-11-15
IDOFCO721HTJGDH7332G,8y08ql,2025-11-15
GXLKAA83238FVRU718EX,xkgbvm,2025-11-15
OAGTYWN8WFC997VLDJH7,a2j6u3,2025-11-15
M0LU6DCI1WILGQBZ6808,2db6t3,2025-11-15
6X20RDH567MX2X3TXYJ7,qd306q,2025-11-15
IOBPI63RBJIHI5FB7U9O,cmfd7a,2025-11-15
SOVPFK3BBWKTQM9HOHWJ,nwzsc9,2025-11-15
IOBPI63RBJIHI5FB7U9O,pztq8f,2025-11-15
