advertiser_id,product_id,click,impression,ctr
2WPF1NXECF3G6NUMWDO7,w3yjck,2,34,0.058823529411764705
2WPF1NXECF3G6NUMWDO7,8tem7z,2,36,0.05555555555555555
2WPF1NXECF3G6NUMWDO7,np11o4,2,42,0.047619047619047616
2WPF1NXECF3G6NUMWDO7,9xqcyx,1,26,0.038461538461538464
2WPF1NXECF3G6NUMWDO7,6gdowb,1,27,0.037037037037037035
2WPF1NXECF3G6NUMWDO7,805ivg,1,28,0.03571428571428571
2WPF1NXECF3G6NUMWDO7,lq3nso,1,30,0.03333333333333333
2WPF1NXECF3G6NUMWDO7,drnjj2,1,31,0.03225806451612903
2WPF1NXECF3G6NUMWDO7,gvu1el,1,32,0.03125
2WPF1NXECF3G6NUMWDO7,jgo4ep,1,33,0.030303030303030304
2WPF1NXECF3G6NUMWDO7,2bnen4,1,35,0.02857142857142857
2WPF1NXECF3G6NUMWDO7,4t6u8i,1,35,0.02857142857142857
2WPF1NXECF3G6NUMWDO7,3lh107,1,37,0.02702702702702703
2WPF1NXECF3G6NUMWDO7,5gipgm,1,37,0.02702702702702703
2WPF1NXECF3G6NUMWDO7,vmsaxu,1,37,0.02702702702702703
2WPF1NXECF3G6NUMWDO7,h31ntv,1,38,0.02631578947368421
2WPF1NXECF3G6NUMWDO7,nw5ji2,1,38,0.02631578947368421
2WPF1NXECF3G6NUMWDO7,qn46an,1,39,0.02564102564102564
2WPF1NXECF3G6NUMWDO7,s2vf7b,1,39,0.02564102564102564
2WPF1NXECF3G6NUMWDO7,0299ko,1,41,0.024390243902439025
5E325T5HYL61QSABVR5V,udqe3f,3,35,0.08571428571428572
5E325T5HYL61QSABVR5V,bypbv0,2,33,0.06060606060606061
5E325T5HYL61QSABVR5V,9lk0rl,2,37,0.05405405405405406
5E325T5HYL61QSABVR5V,xs6gjg,2,42,0.047619047619047616
5E325T5HYL61QSABVR5V,pkiww1,1,32,0.03125
5E325T5HYL61QSABVR5V,ntsah2,1,33,0.030303030303030304
5E325T5HYL61QSABVR5V,9h4jly,1,34,0.029411764705882353
5E325T5HYL61QSABVR5V,hc8w58,1,35,0.02857142857142857
5E325T5HYL61QSABVR5V,av9ue3,1,36,0.027777777777777776
5E325T5HYL61QSABVR5V,dbwejh,1,36,0.027777777777777776
5E325T5HYL61QSABVR5V,gcqxrl,1,37,0.02702702702702703
5E325T5HYL61QSABVR5V,irymbc,1,37,0.02702702702702703
5E325T5HYL61QSABVR5V,rlrndy,1,37,0.02702702702702703
5E325T5HYL61QSABVR5V,oxc3cv,1,38,0.02631578947368421
5E325T5HYL61QSABVR5V,emmsjb,1,39,0.02564102564102564
5E325T5HYL61QSABVR5V,gu38mw,1,39,0.02564102564102564
5E325T5HYL61QSABVR5V,4bxb6f,1,40,0.025
5E325T5HYL61QSABVR5V,et5htr,1,40,0.025
5E325T5HYL61QSABVR5V,90z55r,1,41,0.024390243902439025
5E325T5HYL61QSABVR5V,f500kn,1,41,0.024390243902439025
62FIK8F2YT8JSFDBLEC9,xi7mbu,2,27,0.07407407407407407
62FIK8F2YT8JSFDBLEC9,jc5pyx,2,35,0.05714285714285714
62FIK8F2YT8JSFDBLEC9,nar22o,2,42,0.047619047619047616
62FIK8F2YT8JSFDBLEC9,z1ssuh,1,28,0.03571428571428571
62FIK8F2YT8JSFDBLEC9,e829df,1,31,0.03225806451612903
62FIK8F2YT8JSFDBLEC9,w1wf30,1,31,0.03225806451612903
62FIK8F2YT8JSFDBLEC9,83k1nn,1,32,0.03125
62FIK8F2YT8JSFDBLEC9,ejomag,1,32,0.03125
62FIK8F2YT8JSFDBLEC9,pl0ble,1,32,0.03125
62FIK8F2YT8JSFDBLEC9,cmjf2z,1,33,0.030303030303030304
