advertiser_id,product_id,type,date
OAGTYWN8WFC997VLDJH7,arnle6,impression,2025-11-15
OY5LNPB5A8FF43ITRZG3,nrybx9,impression,2025-11-15
GXLKAA83238FVRU718EX,x3c25o,impression,2025-11-15
KD9PHCBGYFBRI9ET1O9R,col93f,impression,2025-11-15
LTRZRCI4M19WYVL6Q6L5,5tp5h7,impression,2025-11-15
6X20RDH567MX2X3TXYJ7,oufyi5,impression,2025-11-15
P41C5HK4P2G5GFRMT6ZA,nceyxz,impression,2025-11-15
OY5LNPB5A8FF43ITRZG3,kaw0p8,impression,2025-11-15
AK81O7W3KGPEN8LABG2N,29s3ve,impression,2025-11-15
LTRZRCI4M19WYVL6Q6L5,cpgk3r,impression,2025-11-15
KD9PHCBGYFBRI9ET1O9R,jzo8ze,impression,2025-11-15
SOVPFK3BBWKTQM9HOHWJ,3pulgl,impression,2025-11-15
GXLKAA83238FVRU718EX,bgf8vp,impression,2025-11-15
P41C5HK4P2G5GFRMT6ZA,e1m1rm,impression,2025-11-15
5E325T5HYL61QSABVR5V,oxc3cv,impression,2025-11-15
5E325T5HYL61QSABVR5V,irymbc,impression,2025-11-15
OAGTYWN8WFC997VLDJH7,tqrxrh,impression,2025-11-15
SOVPFK3BBWKTQM9HOHWJ,wd0rzt,impression,2025-11-15
P41C5HK4P2G5GFRMT6ZA,rho0gy,impression,2025-11-15
KD9PHCBGYFBRI9ET1O9R,8l596a,impression,2025-11-15
IDOFCO721HTJGDH7332G,jvexc8,impression,2025-11-15
Y0W3K7OV6ZLILW96OO3K,05r5hx,impression,2025-11-15
OAGTYWN8WFC997VLDJH7,x1l0jz,impression,2025-11-15
5E325T5HYL61QSABVR5V,935jp6,impression,2025-11-15
GXLKAA83238FVRU718EX,fwji88,impression,2025-11-15
LW045DVYSGRD75TK6U54,n7yuqu,impression,2025-11-15
GXLKAA83238FVRU718EX,uxkhp4,impression,2025-11-15
IOBPI63RBJIHI5FB7U9O,i2cska,impression,2025-11-15
62FIK8F2YT8JSFDBLEC9,5uqsrl,impression,2025-11-15
62FIK8F2YT8JSFDBLEC9,opxejb,impression,2025-11-15
AK81O7W3KGPEN8LABG2N,qw5b0x,impression,2025-11-15
Y0W3K7OV6ZLILW96OO3K,9bp1iw,impression,2025-11-15
Y0W3K7OV6ZLILW96OO3K,ozvv11,impression,2025-11-15
SOVPFK3BBWKTQM9HOHWJ,odw4nw,impression,2025-11-15
OAGTYWN8WFC997VLDJH7,3qyput,impression,2025-11-15
5E325T5HYL61QSABVR5V,l4aq1a,click,2025-11-15
OY5LNPB5A8FF43ITRZG3,gz6l98,impression,2025-11-15
IDOFCO721HTJGDH7332G,ky85kp,impression,2025-11-15
LTRZRCI4M19WYVL6Q6L5,9ry34x,impression,2025-11-15
EN1SA43DTN2LIR8DEW5S,69ncq4,impression,2025-11-15
8C88YB6E8YCGWU07HA7A,m80sug,impression,2025-11-15
IDOFCO721HTJGDH7332G,jd5mz5,impression,2025-11-15
LW045DVYSGRD75TK6U54,x3crfu,impression,2025-11-15
6X20RDH567MX2X3TXYJ7,mq3rau,impression,2025-11-15
KD9PHCBGYFBRI9ET1O9R,muv6or,impression,2025-11-15
8C88YB6E8YCGWU07HA7A,1lkljp,impression,2025-11-15
OAGTYWN8WFC997VLDJH7,6puw4k,impression,2025-11-15
LTRZRCI4M19WYVL6Q6L5,rl1d4z,impression,2025-11-15
GXLKAA83238FVRU718EX,t0fe6q,impression,2025-11-15
OAGTYWN8WFC997VLDJH7,2pjd97,impression,2025-11-15
SOVPFK3BBWKTQM9HOHWJ,iii41j,impression,2025-11-15
IDOFCO721HTJGDH7332G,o6d759,impression,2025-11-15
K6Z0X85ZUY0TSF4RCG5J,fm4ipk,impression,2025-11-15
OY5LNPB5A8FF43ITRZG3,oo3e6i,impression,2025-11-15
K6Z0X85ZUY0TSF4RCG5J,zy2hpv,impression,2025-11-15
KD9PHCBGYFBRI9ET1O9R,g7ml6l,impression,2025-11-15
